
#(1)                 (6)   (9)  (11)   (12) (13)           (14)        
#Name/ASCII          Con   mag    HIP     HD  RA(J2000)    Dec(J2000) 
Absolutno            Lyn  11.95      _      _ 116.716506    39.094572 
Sargas               Sco   1.86  86228 159532 264.329711   -42.997824 
Sarin                Her   3.12  84379 156164 258.757963    24.839204 
Sceptrum             Eri   4.02  21594  29503  69.545104   -14.304017 
Scheat               Peg   2.44 113881 217906 345.943572    28.082785 
Schedar              Cas   2.24   3179   3712  10.126838    56.537331 
Secunda Hyadum       Tau   3.78  20455  27697  65.733719    17.542514 
Segin                Cas   3.35   8886  11415  28.598857    63.670101 
Seginus              Boo   3.04  71075 127762 218.019466    38.308251 
Sham                 Sge   4.39  96757 185758 295.024133    18.013891 
Shama                Leo   9.10  55664  99109 171.072328    -1.529073 
Sharjah              Sco  11.34  79431      _ 243.174084   -18.875503 
Shaula               Sco   2.08  85927 158926 263.402167   -37.103824 
Sheliak              Lyr   3.60  92420 174638 282.519978    33.362668 
Sheratan             Ari   2.70   8903  11636  28.660046    20.808031 
Sika                 Sgr   7.84  95262 181720 290.720770   -32.919053 
Sirius               CMa  -1.45  32349  48915 101.287155   -16.716116 
Situla               Aqr   5.04 111710 214376 339.439084    -4.228056 
Skat                 Aqr   3.27 113136 216627 343.662556   -15.820827 
Solaris              Peg   9.78 104780      _ 318.399959    14.689385 
Spica                Vir   0.98  65474 116658 201.298247   -11.161319 
Sterrennacht         And  10.54      _      _ 354.774209    42.465973 
Stribor              Lyn   8.03  43674  75898 133.461689    33.056812 
Sualocin             Del   3.86 101958 196867 309.909530    15.912073 
Subra                Leo   3.52  47508  83808 145.287640     9.892308 
Suhail               Vel   2.23  44816  78647 136.998993   -43.432589 
Sulafat              Lyr   3.25  93194 176437 284.735928    32.689557 
Syrma                Vir   4.07  69701 124850 214.003623    -6.000545 
Tabit                Ori   3.19  22449  30652  72.460045     6.961275 
Taika                Lac  11.35      _      _ 335.512865    45.457366 
Taiyangshou          UMa   3.69  57399 102224 176.512559    47.779406 
Taiyi                Dra   5.23  63076 112429 193.868951    65.438474 
Talitha              UMa   3.12  44127  76644 134.801890    48.041826 
Tangra               Peg  11.40      _      _ 347.492723    18.396078 
Tania Australis      UMa   3.06  50801  89758 155.582250    41.499519 
Tania Borealis       UMa   3.45  50372  89021 154.274095    42.914356 
Tapecue              Car   8.10  38041  63765 116.957168   -54.264144 
Tarazed              Aql   2.72  97278 186791 296.564915    10.613262 
Tarf                 Cnc   3.53  40526  69267 124.128838     9.185544 
Taygeta              Tau   4.30  17531  23338  56.302063    24.467270 
Tegmine              Cnc   5.24  40167  68255 123.053168    17.647801 
Tejat                Gem   2.87  30343  44478  95.740112    22.513583 
Terebellum           Sgr   4.70  98066 188376 298.959838   -26.299534 
Tevel                Aur  12.15      _      _ 110.168568    37.140651 
Theemin              Eri   3.81  21393  29291  68.887660   -30.562341 
Thuban               Dra   3.67  68756 123299 211.097291    64.375851 
Tiaki                Gru   2.12 112122 214952 340.666876   -46.884576 
Tianguan             Tau   2.97  26451  37202  84.411189    21.142544 
Tianyi               Dra   5.43  62423 111335 191.893099    66.790305 
Timir                Oph   6.89  80687 148427 247.117296   -13.399636 
Tislit               Pup  10.77      _      _ 126.337846   -11.500986 
Titawin              And   4.09   7513   9826  24.199342    41.405457 
Tojil                Eri  11.58      _      _ 052.818029   -23.819678 
Toliman              Cen   1.35  71681 128621 219.896096   -60.837528 
Tonatiuh             Cam   5.80  58952 104985 181.312995    76.905735 
Torcular             Psc   4.29   8198  10761  26.348466     9.157737 
Tuiren               CVn  12.09      _      _ 188.266276    44.915333 
Tupa                 Cru   6.99  60644 108147 186.442779   -64.022088 
Tupi                 Ret   7.12  17096  23079  54.929567   -52.915838 
Tureis               Pup   2.83  39757  67523 121.886037   -24.304324 
Ukdah                Hya   3.90  47431  83618 144.964008    -1.142810 
Uklun                Cen   7.47  57291 102117 176.210254   -58.703710 
Unukalhai            Ser   2.63  77070 140573 236.066976     6.425629 
Uruk                 Sge   8.97  96078 231701 293.017338    16.474289 
Vega                 Lyr   0.03  91262 172167 279.234735    38.783689 
Veritate             And   5.22 116076 221345 352.822556    39.236197 
Vindemiatrix         Vir   2.85  63608 113226 195.544157    10.959149 
