HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
4314,Chi1Hya,CD-26 8338,96202,179514,419,11,5,19.9,-,27,17,37,4.94,F3IV,0.043
4315,,BD-10 3190,96220,156448,1286,11,5,34,-,11,5,20,6.09,F0Vn,
4316,,CD-48 6157,96224,222548,,11,5,4.2,-,49,23,33,6.13,B9.5V,
4317,Chi2Hya,CD-26 8342,96314,179522,,11,5,57.6,-,27,17,16,5.71,A0IV,
4318,,CD-50 5686,96407,238763,,11,6,5.8,-,51,12,45,6.3,G8III,
4319,65    Leo,BD+02 2387,96436,118668,1287,11,6,54.2,+,1,57,20,5.52,G9IIICN-1,0.035
4320,,CD-28 8657,96441,179542,,11,6,38.7,-,28,43,40,6.77,A1V,
4321,,CD-50 5693,96484,238775,,11,6,27.4,-,50,57,24,6.32,K2III,
4322,64    Leo,BD+24 2318,96528,81681,,11,7,39.7,+,23,19,25,6.46,A5m,
4323,,CP-58 3112,96544,238779,,11,6,29.3,-,58,40,31,6.02,K2II-III,
4324,,CD-31 8776,96557,202100,,11,7,8.4,-,32,35,14,6.59,F1III,
4325,,CP-61 2067,96566,251269,,11,6,32.4,-,62,25,27,4.61,G8III,0.055
4326,,CP-64 1630,96568,251267,,11,6,24.2,-,64,50,23,6.41,A3V,
4327,,CD-41 6343,96616,222581,,11,7,16.6,-,42,38,19,5.15,ApSrCrEu,-0.001
4328,,CD-29 8875,96700,179558,,11,7,54.4,-,30,10,29,6.54,G2V,0.049
4329,,CP-70 1305,96706,256800,1288,11,6,49.9,-,70,52,41,5.57,B2V,
4330,,BD+68  632,96707,15414,,11,9,39.9,+,67,12,37,6.06,F0pSr,
4331,,CD-29 8877,96723,179568,,11,8,15.8,-,29,58,22,6.49,A1V,
4332,67    Leo,BD+25 2344,96738,81692,2889,11,8,49.1,+,24,39,30,5.68,A3IV,
4333,,BD+37 2162,96813,62427,2892,11,9,19.1,+,36,18,34,5.74,M3.5IIIab,
4334,,CD-27 7886,96819,179577,,11,8,43.9,-,28,4,50,5.44,A1V,0.011
4335,52Psi UMa,BD+45 1897,96833,43629,420,11,9,39.8,+,44,29,55,3.01,K1III,
4336,,BD+43 2083,96834,43627,,11,9,38.5,+,43,12,27,5.89,M2III,
4337,,CP-58 3189,96918,238813,1289,11,8,35.4,-,58,58,30,3.91,G40-Ia,-0.001
4338,,CP-61 2075,96919,251286,2891,11,8,34,-,61,56,50,5.13,B9Ia,0.009
4339,,CD-31 8816,97023,202149,,11,9,53.4,-,32,22,3,5.81,A2V,
4340,,BD+69  602,97138,15431,,11,12,11,+,68,16,19,6.4,A3V,
4341,,BD+15 2301,97244,99492,,11,11,43.7,+,14,24,1,6.3,A5V,
4342,,CP-57 4387,97271,238839,,11,10,54.7,-,58,27,19,6.88,B7III,
4343,11Bet Crt,BD-22 3095,97277,179624,421,11,11,39.5,-,22,49,33,4.48,A2III,0.051
4344,,BD+55 1446,97302,27952,,11,12,44.5,+,54,53,39,6.63,A4V,
4345,,BD+36 2162,97334,62451,,11,12,32.2,+,35,48,49,6.41,G0V,
4346,,CD-31 8847,97393,202197,1290,11,12,14.8,-,32,26,2,6.38,M1III,
4347,Psi Crt,BD-17 3321,97411,156528,,11,12,30.4,-,18,30,0,6.13,A0V,
